模型,R2,RMSE,耗时(s)
Ridge (基线),0.757220113105969,0.4761478466920138,0.01
SVM (下采样),0.8231298180766505,0.40640850085825586,1.15
Random Forest,0.8560615431025774,0.36662653432447306,8.2
LightGBM,0.8658432056286278,0.3539499118175876,6.06
