model,MAE,RMSE,R2,n,target_transform
HistGBDT(sklearn),0.2506737356320424,0.35482514063434545,0.8651789135303284,11888,"winsorize(1%,99%)+log1p"
Ridge,0.3547939250203924,0.4765000235606651,0.7568608420056955,11888,"winsorize(1%,99%)+log1p"
