model,MAE,RMSE,R2,n,target_transform
Ridge,0.3546010268121483,0.4761478466920138,0.757220113105969,11888,"winsorize(1%,99%)+log1p"
LightGBM,0.2502542407332674,0.35427017848646875,0.8656003159610351,11888,"winsorize(1%,99%)+log1p"
